,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1-digit level OCCP Occupation,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
210010001,38,18,77,26,22,7,17,26,0,0,0,225
210010002,44,55,71,71,33,21,29,44,0,5,0,368
210010003,158,178,314,111,156,39,95,206,5,7,0,1266
210010004,83,187,64,116,75,204,24,103,5,7,0,867
210013331,101,87,140,141,62,110,32,46,6,0,0,722
210013350,66,151,108,146,59,46,37,71,4,3,0,686
210023330,33,357,40,60,56,0,3,32,3,3,0,587
210023332,293,332,194,354,223,503,33,137,14,18,0,2097
210023337,43,175,37,78,31,12,3,7,7,0,0,404
210023338,176,2602,212,682,609,111,58,224,24,32,0,4733
210023341,180,606,195,424,259,271,47,173,21,20,0,2202
210023342,105,313,102,111,171,42,10,23,10,3,0,889
210023343,158,202,176,111,177,398,69,142,11,0,0,1441
210023344,328,879,186,594,793,375,25,157,12,26,0,3377
210023345,454,939,288,558,909,428,45,202,28,22,0,3879
210023351,56,244,33,231,45,3,3,28,3,0,0,643
210053363,43,95,72,82,44,69,8,40,3,3,0,461
210053364,224,777,150,260,603,10,9,38,27,10,0,2105
210053365,45,85,52,25,44,4,19,26,4,3,0,304
210060001,98,89,253,129,113,70,129,166,10,3,0,1059
210060002,53,31,61,79,25,182,21,71,4,0,0,523
210063370,271,101,556,91,210,189,409,213,17,11,0,2070
210063371,59,149,94,278,46,188,31,110,10,9,0,969
210073283,75,72,135,38,59,12,44,69,5,5,0,520
210083352,396,241,649,50,364,116,424,518,36,19,0,2818
210083353,267,463,162,343,188,558,52,258,24,13,0,2318
210083354,35,126,65,102,54,19,24,41,0,7,0,480
210083356,40,24,57,5,28,15,52,23,0,0,0,242
210083358,262,243,360,135,262,154,193,463,25,15,0,2103
210083359,71,91,179,69,81,48,102,206,11,8,0,875
210083360,248,83,523,62,315,83,233,198,11,10,0,1775
214810001,63,62,84,73,51,153,29,75,6,8,0,603
214810002,14,19,25,14,7,4,0,6,0,0,0,92
214810003,35,47,63,76,15,8,15,17,0,3,0,282
214810004,39,18,60,10,30,36,23,23,4,5,0,245
214810005,85,166,120,189,67,18,30,46,6,0,0,723
214810006,48,178,113,234,52,18,25,83,6,3,0,759
214820001,36,49,27,24,34,48,41,26,0,0,0,282
214820002,29,76,38,33,24,7,8,10,0,0,0,228
214820003,57,87,95,83,67,16,116,26,6,3,0,548
214820004,30,30,73,7,26,6,12,17,0,0,0,199
